Address,Held,Points,Amount,
0x44998245c27a9182d9dd321726d3d493e6a2fff9,"52,230,931.14",4,18461.53846,
0xd2e6ced96b569ba6685c2e86ca0a98c7ec50289d,"30,201,017.67",4,18461.53846,
0xfcd67eee80f7abfabdf456ae4ebe8c3e040f4545,"25,525,476.67",4,18461.53846,
0x19fab8f7dffff38268644eaebd3d538f68036000,"20,109,025.22",4,18461.53846,
0xb9bc2d7d80c09466e7212d202b3fd3b7b9ab599e,"12,146,295.61",4,18461.53846,
0x2a64e64214781930f2fef8ca44da3f8ecdc0ceaf,"10,750,316.07",4,18461.53846,
0x8d79147d64985566c8d72183612e953f966ef81f,"8,824,600.85",4,18461.53846,
0x04392a8b863bed204196ab3473796579e8b10388,"8,166,564.52",4,18461.53846,
0x0860f25c8f3be3a98db4adcf9371ef79bdc2e32c,"7,669,428.47",4,18461.53846,
0xc4b920473545fb871da743a0cebb7a4e88ce5727,"6,641,710.85",4,18461.53846,
0x1b0bc5d02086051418a566f406f52592f365fbd0,"6,564,871.94",4,18461.53846,
0x7ffeaf30e33b5f56a2c89756da8d458074a3228a,"4,476,217.81",4,18461.53846,
0x45852af87d14e20281fa1525aa1f64b83793700f,"4,370,768.47",4,18461.53846,
0xf8c8c07e2ee32e00da62f010fad4bfd1c60b7d50,"4,251,787.06",4,18461.53846,
0x362f4a7e7fdc2d69b7a3dfa8f993ef0f5737dd3b,"3,870,625.52",4,18461.53846,
0xe0459778d774f3c1539ab100e37886ca02346c0f,"3,239,286.22",4,18461.53846,
0x01b684806577d94a1769535f353fb13eb75e6d51,"3,129,960.71",4,18461.53846,
0xeffb61a74238c5bdec0f5c2904960c3e2a679ab5,"3,066,786.74",4,18461.53846,
0x0626f46cc8c57b3577f05025dbc34cab2b759443,"2,282,002.70",4,18461.53846,
0x5e7ae57b4e0f663d1be7ade6e37f1805dc918c0a,"2,066,556.21",4,18461.53846,
0xafe3e17f15ebc6bad19778edb7f735b66716b4f2,"2,055,661.99",4,18461.53846,
0xa722b2248301579bcc2f4587ee0e98166b643b58,"2,041,820.87",4,18461.53846,
0x58406c2e3d738ab7ca1896d7510bcd85aff7ba8f,"1,810,928.12",4,18461.53846,
0x45f9e4135e17d17ae1489e92d010abb7115007f0,"1,571,879.05",4,18461.53846,
0x48e7949590819a6ecd9652293e26eec752677240,"1,536,849.11",4,18461.53846,
0x3a4b023e1205d464e087c9736103c34d1deb73e3,"1,517,840.48",4,18461.53846,
0x8e01ed2e09c477ad01e04caea735f897d3c6c2bf,"1,446,966.19",4,18461.53846,
0x2bc87b025e03ab3b2149ec0a0c7b88c5c0a9da79,"1,398,545.85",4,18461.53846,
0xe97de4109eab6e69d9b3782e86fafba79a2c3ad5,"1,304,933.75",4,18461.53846,
0xee5c6073175553b21b1925381affa43bb1ee5497,"1,297,389.94",4,18461.53846,
0x476be5a80d5a1ac93a98ea4ab1afc4f116fa2efa,"1,269,599.53",4,18461.53846,
0x9c1a148bcc582bdff0ffc4404099d8d64805ee42,"1,145,752.72",4,18461.53846,
0xe2945346f27de8f7be616c0f0fd3e9b31d563945,"1,135,588.47",4,18461.53846,
0xeca8d188945379ae8936ea84f2bc56925a332416,"1,106,849.66",4,18461.53846,
0xeb904a5fee54bd05db80b0e2e7b43c1bce10bbc4,"1,075,266.72",4,18461.53846,
0x4d05150e03ed966ca363e5fb2ef5b4ab358081b2,"1,018,028.84",4,18461.53846,
0x0e39e66d9fe4f4431041ccda46db31d6265b585a,"1,016,541.85",4,18461.53846,
0x3bbef0b3040f123d11b6b7e3c8971185eb38caff,"1,016,322.14",4,18461.53846,
0x0ada25cc9e9be50ff8ad29799ed653e9b3dc6928,"1,006,878.94",3,18461.53846,
0x5e65692ad99a9017ae3a7d997bf3ac14e044b0c2,"1,005,924.36",3,18461.53846,
0x254768d47cf8958a68242ce5aa1adb401e1fef2b,"1,001,295.78",3,18461.53846,
0x5a31facf243c2c395700a371647d07204ee79c25,"999,500.66",3,18461.53846,
0xc8db756c22f1a536434ffbfd7759bb13c5e711a6,"928,343.15",3,18461.53846,
0xa99505725bc83a38da8a3786a06a1d709ef642cf,"926,537.83",3,18461.53846,
0x0cde7d5cffaef5009d0c772296bf9040d22f7f64,"915,785.11",3,18461.53846,
0xc4e597145e010b750eff5de328e0860d734dfc27,"907,496.26",3,18461.53846,
0x70c3f70f559051c581a6871cabffd75c50f0019a,"865,586.46",3,18461.53846,
0xe0e723fe30aa47361432066886d1b73214c0cac2,"851,485.30",3,18461.53846,
0x6e432e8ad8a24ac6b7beeea2c40c53794037f898,"797,366.63",3,18461.53846,
0x8652097dd6e877614332dcb2abccace13214d90e,"769,371.48",3,18461.53846,
0xed768d1f9e6da3f7c652552b0453de200d0f1c4b,"713,146.31",3,18461.53846,
0xb5fd7bffb973314bfa2f90dd3ba74dee3ba9b22e,"710,796.91",3,18461.53846,
0x0b1e38f32500f236b68751a1fbf4420eb332aa76,"701,480.85",3,18461.53846,
0x0ea842f737f59e71b838e8e751cbc678401dd2ac,"686,895.28",3,18461.53846,
0xbc3bbf6158961e362ad70ec94e58ef46b19fb926,"682,802.12",3,18461.53846,
0x19c3f1a2e3f4d28c0bd5a4eac18ddd9b01a18ecd,"677,179.00",3,18461.53846,
0x5ab73154a4e5ad6512e5b233a7a8364a80111a6a,"674,938.50",3,18461.53846,
0x68d6c0d62f776089f4466a4263501d8597a5ea69,"661,889.41",3,18461.53846,
0xfc5831587d37969226da5bdd8b90226534a2c06a,"654,803.41",3,18461.53846,
0x3671f028bb74df814333b9f9f6a122515366cd14,"653,398.68",3,18461.53846,
0x81cd8a48b8fb975a7d3aaffc71b2713d9fca6bb9,"645,024.43",3,18461.53846,
0x760a6314a1d207377271917075f88e520141d55e,"644,087.17",3,18461.53846,
0x4a94e4b2f0a2d40d39242f61244391ea6ec6f774,"636,041.19",3,18461.53846,
0x725aa470a31fd3f69cc291071dc1138b7113c330,"631,620.69",3,18461.53846,
0xda16453c9843431102774e03fed09c84bcbe98a3,"630,824.74",3,18461.53846,
0xa3fa22886c1430e568121fb0d4956c13d8216363,"626,572.62",3,18461.53846,
0x2cb91b4356e08f59e6e28b8d400a5fddd70604f7,"604,017.72",3,18461.53846,
0xbdf27cc0775aae45dd8d22371a3ab06e9e793d59,"583,835.27",3,18461.53846,
0x6263ecdc72a3adde80f244705260a26bd25608c4,"553,274.64",3,18461.53846,
0x415faefeb038eb69acd1df8da06410e17c447e29,"537,668.32",3,18461.53846,
0xd285e57ab944cbcee30d018e1e21fa4881c659cf,"533,836.90",3,18461.53846,
0x44fc905255c6e8cda084be92fa2a9fa527e136e2,"531,717.91",3,18461.53846,
0xdeae28b64675005114d9029f1aeed9a51263bba2,"526,264.46",3,18461.53846,
0xfc96fa2d2c55df9671c3f24f8ca6df1337ff0cf0,"521,718.04",3,18461.53846,
0x76816d7e2cfe01402c7ac6f45e0e066ed60cb3b6,"521,133.50",3,13846.15385,
0x597aa2543278216eb6f0b71ba8313fe4d06f817d,"518,702.55",3,13846.15385,
0x7e4ed5e89bfa4adfbc8143fcfe64f20e9a5b09f9,"514,176.56",3,13846.15385,
0x3111968a00e452742236e81cfe28a38d6dc6cb05,"512,662.43",3,13846.15385,
0x61523a8d1561d4bfd539c383d51604e04bbb799b,"508,781.90",3,13846.15385,
0xcf04182c9054160e7bcbbbc0c375b042edeb0652,"502,331.87",3,13846.15385,
0x2ea0eadcd1695749a8073e4474575b91aa69cacd,"500,353.08",3,13846.15385,
0x4e3a713f0a646033b1981e21cc577392446896de,"479,264.56",3,13846.15385,
0xbc97b1d7b094b4e98d8bd13107c9094f7d087372,"475,976.17",3,13846.15385,
0x4b6ab04916dcfb0e2041d99b2b6187303ca47a42,"474,739.35",3,13846.15385,
0x383b794bbc1e2c08851947ce99cb749b42e4b9d0,"474,375.94",3,13846.15385,
0x3b89aeef98af5d16edce6e7ad134f47d3a18d21c,"468,169.69",3,13846.15385,
0xe252e3c0b18b6db34a7a8d3b0c128b437a10af99,"450,271.55",3,13846.15385,
0x3e1cebe917f26fa3608879623995d5bbb83936e6,"449,975.84",3,13846.15385,
0xfc5ac2481a8ea66b1d09e87a70fe2fdccae8a93e,"439,379.04",3,13846.15385,
0x04bb78493c41a6232d014a421ee741792c1ad250,"426,758.63",3,13846.15385,
0x867072026c8c60ed2550dff131481e3b3bb1fd8f,"418,069.70",3,13846.15385,
0x8ac1cab38af8772d0bcfc556ee464186a5bf3962,"414,770.58",3,13846.15385,
0xdd49092cf1a07482dd5432e1b0480534401e6243,"394,633.58",3,13846.15385,
0xe31eaf798479ff27f662f1fed35f4041430220fa,"393,489.99",3,13846.15385,
0x39a5532361d8c750699de07b89c54d948ddba9e7,"390,958.19",3,13846.15385,
0xe873c19b33cab017ce0102df4c92f6709b4f5a20,"388,233.33",3,13846.15385,
0x515de3cd5356e8fe5a973db7e05af1841ed9e5f0,"381,966.79",3,13846.15385,
0xa9dba4aeabf7af1c0c9f68de7381b93fc07c5a32,"379,747.98",3,13846.15385,
0x2111809658c520c9bbbfcac7aecf84e72d8c95b7,"377,933.25",3,13846.15385,
0x2dbfc1d5bcbca6e08e9d50adb974cc51e1ccf8b7,"374,964.93",3,13846.15385,
0xec309902d575e1d80fbcb60fc459a8fed13cef05,"366,083.13",3,13846.15385,
0x0028be83aea26315638e81e28a2fcd3fd378e7db,"361,149.48",3,13846.15385,
0x505a1b76c671dfc70a2e72992b676e747404d97f,"352,507.14",3,13846.15385,
0xd2b063bfd95d05eab1094ee6dcb5a9372c07a867,"351,290.55",3,13846.15385,
0x5f1f3748f9532fe73f9b84eb071899e3d950737b,"348,744.21",3,13846.15385,
0xd657c0a2a4775595f41a9c84800db841a9b1cd5d,"346,834.13",3,13846.15385,
0x98a7d05fbb6e31df91fcb0893e5e9c29def26e72,"336,638.88",3,13846.15385,
0xf1dd8d8a27c2474d8c6aba394b09e21ae017e545,"331,323.53",3,13846.15385,
0xde72ffc2ee4f6d4f1ffaf4d0ebcf12ffca9d431f,"330,909.08",3,13846.15385,
0xc7a1fe3637acc1f4c147c98f2cc54be8420d1531,"329,706.61",3,13846.15385,
0xd881be01bc2bdb8afe7de1e0e8299d4ebe9b03b1,"324,042.70",3,13846.15385,
0x63c59fa8706812eb65a348f972b6b15cfe17c435,"320,777.40",3,13846.15385,
0x86da5a57359ad024d9a3f40b31ce12ad65356f0c,"318,842.91",3,13846.15385,
0xc65fa000ef613416c5a2172f288e2942cc39fb82,"317,318.28",3,13846.15385,
0xc2dc5eb391af52d491a662b728a42d694f30be4d,"311,741.26",3,13846.15385,
0x3d208a787d9cb64f5b6a93997db9f1433eafff2b,"302,753.20",3,13846.15385,
0x6615e0aa84de06897a10bca73ccf546fd72b2a12,"299,243.49",3,13846.15385,
0x90b3ac838b28a158e450d9bf57a09077d62a8861,"299,210.73",3,13846.15385,
0xffb95fe206182c1bdf35d192a1f8359d21694678,"297,418.42",3,13846.15385,
0x1525981b79261f8cc6a4f638d3301c0c9e79d1f9,"295,673.86",3,13846.15385,
0x2cf05441fe4a2d3cd30b916a9872a736abe15804,"294,450.53",3,13846.15385,
0xaaecaca4bc57985f106e0642c7946dc3381ac707,"283,610.19",3,13846.15385,
0x07d7be4e0d905f95b9f43f9921fbec10cb3fe691,"278,277.90",3,13846.15385,
0x2bcc22d094b7400707cac14163db912d4c372e83,"277,603.13",3,13846.15385,
0x9694f2d0f196edc60f0ddef6f7a1a65072a8de9a,"276,068.94",3,13846.15385,
0x5a27676e99dd2303238bd2213a0d239cecbac590,"274,079.26",3,13846.15385,
0x32572ab7968f117caaa58233e4b664e10be956d8,"272,098.96",3,13846.15385,
0x7ec40a1a7ab368b0c4cd446605cf00dd6c6cc0de,"268,473.94",3,13846.15385,
0xc922d159f98ebf0c64a3d1de8a37eda28554442d,"267,742.10",3,13846.15385,
0xe3801a162bd77195c583a5941cf979dc994b31d9,"261,277.97",3,13846.15385,
0x4c91195e15f2192ce48ca5dbd74bf522b81004f3,"261,039.38",3,13846.15385,
0x5205ef2516cf8b8c3da55d8853f49d56db9ff903,"261,008.86",3,13846.15385,
0x8b1f59e5af0d2712d668f6a56875127091757b4c,"258,636.21",3,13846.15385,
0xe80be74f1ffb0dec2b7c649a7a290d5adce48ef6,"257,051.66",3,13846.15385,
0x4b2b287ee0046d022d7ffd179e4aeca05ece8061,"255,984.30",3,13846.15385,
0x161c49f75f37a4f4922d19bbf1b92c08a410a8f4,"254,524.44",3,13846.15385,
0x0b375247de62dfd497a2c80e28190caafbd5907f,"253,442.19",3,13846.15385,
0x2ddccea13184186d49b00dde028c2e10b4bb8e6f,"249,270.19",3,13846.15385,
0x227dbb43a13c339dd94307199028a0c5d0c2ab6e,"248,658.07",3,13846.15385,
0xa6c9457f0fcacc6b053f50b7188af4593f99e6cb,"248,321.79",3,13846.15385,
0xd3639ff485d958ff1326c0616e36208535606939,"247,343.86",3,13846.15385,
0xed4879e5899bdab0642e188cd3de5e0255e356b3,"244,189.18",3,13846.15385,
0xb58b3f559b64e4ced7b7dc9aff915310c62cd2ab,"242,598.26",3,13846.15385,
0x27b76378dba83ea916d00a3de78c1ecc6beaf1c6,"238,520.19",3,13846.15385,
0xbecc574cb735ede08f3a744ad0098970d85d6a7a,"233,591.76",3,13846.15385,
0x08bae64a33d8defb53ee9df657bf343c559718c4,"231,214.23",3,13846.15385,
0x9053a9220bc89da0898194057dd7bcc3bf36e90c,"230,144.77",3,13846.15385,
0x72a02d91d48ca566fe0b83677306e8fccf284ad6,"229,384.14",3,13846.15385,
0x495ea8d1d774358e912dad6163e9c3b6e37077b9,"222,450.50",3,13846.15385,
0xc256257c3448802db17f344add35d13c14da4faa,"219,577.35",3,13846.15385,
0x9667f6c21086440d21b381c3f91c2759f192c854,"217,797.58",3,13846.15385,
0xbffc996f12c3a565a9d0fa31577b5d30ebbcda3b,"216,758.94",3,13846.15385,
0x44a4474be961b7683e34f2b204660a842e567e48,"214,721.34",3,13846.15385,
0xf366561c5c7d6508248c16f836368392fd7723a9,"212,460.70",3,13846.15385,
0xee9095f793493eb332204c8838f3337aa6e582b7,"208,662.81",3,13846.15385,
0x01fe9f0b37412498bc62f2086674ac9786d27e7f,"208,659.67",3,13846.15385,
0xd15cd937831ef368ec6de6947bb3e2714658e1cc,"204,570.77",3,13846.15385,
0x7c02f38de25611887c16b208f85f29ce625f4687,"203,654.12",3,13846.15385,
0xdd1f74a9bc67a74d1c0d24f9d17ff942c2181776,"203,608.41",3,13846.15385,
0x918fbd0720364aec87c021f63c8bd3dd6638aac8,"203,154.42",3,13846.15385,
0x618d8c0df790b95c1f0aa938304d9059037972dd,"200,574.73",3,13846.15385,
0xc23604faa1e8755c9ee391dc8938393c22c41793,"200,206.37",3,13846.15385,
0x4cb278d8dee9a05982160e4f3851d4a62680ced2,"200,000.05",3,13846.15385,
0xb6d2757f1639f382949e56b8c75cdeb23b729b55,"199,438.19",3,13846.15385,
0xdfb60cc9f46f8784685367ab84c66037ad4261cf,"195,398.71",3,13846.15385,
0x31174b747548a56003edd1507ff11119117ef736,"193,850.83",3,13846.15385,
0xea83404d76196c89821ddcba14d3dc1111dafe81,"192,546.19",3,13846.15385,
0x2412722eb11cab4023b0979f79f58839b364aa61,"192,238.75",3,13846.15385,
0xae672dca4464c1c2d5a79f03142082824d88d031,"191,539.37",3,13846.15385,
0xb31e8e0fa531db8e18a6cb9c9db83f45a598c76a,"189,813.09",3,13846.15385,
0x038f28a39559de6c586728d60a47d914880589f1,"184,235.83",3,13846.15385,
0xdf94a7c1b948d47b33d02104a1b921614979b7e1,"181,945.57",3,13846.15385,
0xe0bde56ba27a21557c9c6b30d30fb7e5bc079d8a,"180,210.16",3,13846.15385,
0x24360f556c9dd85730f04993de51bfb42cbe4df6,"180,040.33",3,13846.15385,
0xc390128456f5e35eaab28d4061eccae0c1ac7728,"179,416.71",3,13846.15385,
0x465e0d52207b0d772eaba41b84c1f8f99cd624a0,"178,779.87",3,13846.15385,
0xbffa0adbfaa0e20b734ac365e63affeba8f1dd0c,"177,984.43",3,13846.15385,
0x70969b84378eaadc2377c6b5a5270ad1fd1683a5,"177,747.21",3,13846.15385,
0x1727a8066ecb1b54e13f07b6332150ab2e94f2c6,"177,706.38",3,13846.15385,
0xf5eed342cdfeff748debe1e50ff4accff32593f3,"176,325.25",3,13846.15385,
0x5c2248818c6cca7974eb7b5901fd4dc0e5f0f897,"175,850.35",3,13846.15385,
0x97604e74de5d9ac469ce508a746a4add11881891,"171,757.93",3,13846.15385,
0x6d2d668009e030007fda355890f61ecd29495ed2,"170,907.58",3,13846.15385,
0x7a6cc15b610a720a9eabac1fe29cf9bb1a6ee6a1,"169,610.15",3,13846.15385,
0xfbdb250fab368245a07b02387e5aff2ed6a4bda2,"167,151.04",3,13846.15385,
0xaf40195b48973085c3c0b80310323dcfed3923aa,"166,945.44",3,13846.15385,
0x0a96534f248c9b98330e377f1091712ce50a9206,"166,776.74",3,13846.15385,
0x3bd2470eabc41fe666598ee48faccc1487c140bf,"162,877.76",3,13846.15385,
0xb4cff1114e89e53d87f5d3c233db3a768820e2db,"161,391.10",3,13846.15385,
0x91ad8aff7eba4a9250693ee94a92e7f853dcf5e6,"161,268.24",3,13846.15385,
0xb1c96e906101bf27f8959e40c4392ecb9d497e89,"160,221.69",3,13846.15385,
0x5b884452ee814d59e1869ca8cc83e5dfc9995a0b,"159,986.95",3,13846.15385,
0x2ef811f96e67108b2bf224bc30944a5f7480c9fa,"158,516.40",3,13846.15385,
0xe2c6049024ce44dc33a43222e22c8869f9cd73e0,"156,442.47",3,13846.15385,
0xd5819c09522b9eaa133991ebc996880621efa4b9,"155,789.67",3,13846.15385,
0x7ac2ad1c16d30af77f52a1e3c7abad8612e363d3,"152,306.03",3,13846.15385,
0xa802a52020620b787d261e515b559315c3f99a37,"149,251.84",3,13846.15385,
0x7d773340e9d5f5b270117e5675948ba1b18c7de0,"148,984.71",3,13846.15385,
0x93845ed221a87fdf6ec4a2e87319e12e1a66e83e,"148,194.07",3,13846.15385,
0x1ddeb0c6e2d8123ef438c0c8cb964d6ee3cdc935,"147,175.31",3,13846.15385,
0x87b00f4f836e0c5d78255aeeac62566d9e51af6a,"146,172.26",3,13846.15385,
0x3d006d8e3a6eb9bbe170fafc8a1ba82fc4fe1c5c,"144,068.86",2,13846.15385,
0x8498649db6645e1a39f32e548826d6eb4e6afff2,"141,373.67",2,13846.15385,
0xa35072498ec2ae77c804babcf692fbd69fdc262d,"141,123.29",2,13846.15385,
0x6f281bb0736143cc3dbb5281918d6dc7d35339f0,"140,997.89",2,13846.15385,
0x3f8550c6ef10ed9c95ca850dee528d25fe862d74,"139,769.36",2,13846.15385,
0x8d0979a0156dc25e14034bbf199dfd4052e57723,"139,524.31",2,13846.15385,
0x64338a791ba8f0584d0059edec9a6bd246d41ba4,"139,246.92",2,13846.15385,
0x37e6f3e5934c69a2e0befe44c865eee7e5217649,"134,413.96",2,13846.15385,
0x265a335fbddad52b87f3b5297acd1111e0bc3dfe,"132,288.84",2,13846.15385,
0xe521ee483fcc5efdb4be0f6a50fef292abcdb3bc,"129,524.73",2,13846.15385,
0xb959bbfa32e9e0745018ea23586d61b92e610173,"129,004.26",2,13846.15385,
0x830b046d442d9bf37e2289ffcf8cec4a2edf7010,"128,061.39",2,13846.15385,
0xe93636aac64838fbea6928c50056090966901ab4,"127,328.33",2,13846.15385,
0xd74ff889b65a9f0ec79c8be44ae0f11d379d4df9,"126,425.37",2,13846.15385,
0x569f40fb13d9af9181e7d13724f74e9629813136,"126,015.09",2,13846.15385,
0xefcf747355306ae46f0f24bd1a8633498a2bf087,"124,618.70",2,13846.15385,
0x05d90f7d6d0a1dc67c2b8fe63044b71a09e14549,"124,008.13",2,13846.15385,
0xa2d18f6c4ccef7b82ee920c5c6ce2cae1c870abc,"122,707.00",2,13846.15385,
0xacc81e58bd20f0cfad70242ae195b80b99210b8a,"122,236.28",2,13846.15385,
0xafb6191040a845d5d062486fa9d9cb8715cbce46,"121,552.61",2,13846.15385,
0xe32fb8e45c86af8a33424628d157955dfdebeeb2,"119,806.73",2,13846.15385,
0x9bab6fb3d7a4025be1acf0501936337b5bec05cd,"119,735.64",2,13846.15385,
0xa68df4e3387b2583a04f46f74e985f79cc8f54fd,"119,143.44",2,13846.15385,
0xfc87a1017711b68ba48a11a01224b9329da5fd3f,"117,298.01",2,13846.15385,
0x25afc5359456be27d2079db8edc393e64351cb21,"116,485.64",2,13846.15385,
0x15cffef1e2789a89531e8738d3a1e1141ca4dc19,"115,783.67",2,13846.15385,
0x19d0bf089c30b3fbadf0a612f66972c2f2dd1c25,"113,678.89",2,13846.15385,
0x94a9ac6407e53edb4539b3db0f2166888a152fba,"112,929.32",2,13846.15385,
0x5c999bd175f55ffc313439e0f12f7a4e636056b2,"112,527.11",2,13846.15385,
0x1ee72b512debf71757920833c0be0d457a939926,"112,472.91",2,13846.15385,
0xc723de53d130b98a73491079f375ad66265bd543,"111,428.30",2,13846.15385,
0x82e11e75935635098ad5e9452e6fc834a5921249,"110,506.73",2,13846.15385,
0x291d5aaab8f4cfe3af2e97c4d66915b4c24e72b1,"110,240.98",2,13846.15385,
0x6bcb0d83cc1096670abaa2f83d8d2d46b6541df2,"109,394.84",2,13846.15385,
0x847d46c98d7202c24c5022b4d110216e4707fb83,"108,357.32",2,13846.15385,
0xcc1319685209a7708c39cbf1bc1177903ab33fa0,"108,335.84",2,13846.15385,
0x99a13f8ebc7fadb53a92c68b347760f1460e094a,"107,687.77",2,9230.769231,
0xedaed0522fe6bec64a41bdcad13642c6a03897ba,"107,540.84",2,9230.769231,
0xde0e2067ad2a1d6d3d0125f17fb8ab29c0057b4b,"107,371.15",2,9230.769231,
0xc54a55befa1fd16e1ef8fd2005a08481caefcf4b,"107,254.73",2,9230.769231,
0xd24cdb13a31a09689f023c1ff9c0577fcf51cde9,"106,988.99",2,9230.769231,
0x8e6aa910f593cf952b9ef2eb6977849533b53fb6,"106,958.71",2,9230.769231,
0xc974656047ae876d47f4511ebbd8dc8c2d937c8c,"106,676.91",2,9230.769231,
0xb261a9577063f57ebdc7663ee2c30bb9d0162deb,"104,679.65",2,9230.769231,
0xe605659ba16c21fce07029a1dc4abc1037307d9c,"103,816.06",2,9230.769231,
0x1cce837c4ab2d9dd44fabe503d213c992eb67cbb,"103,281.73",2,9230.769231,
0x347d361e401fbe520474fefabc150f5f914ed31a,"101,467.23",2,9230.769231,
